class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
BusinessFunction	"The business function specifies the type of activity or access (i.e., the bundle of rights) offered by the organization or business person through the offer. Typical are sell, rental or lease, maintenance or repair, manufacture / produce, recycle / dispose, engineering / construction, or installation. Proprietary specifications of access rights are also instances of this class.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#ConstructionInstallation\n* http://purl.org/goodrelations/v1#Dispose\n* http://purl.org/goodrelations/v1#LeaseOut\n* http://purl.org/goodrelations/v1#Maintain\n* http://purl.org/goodrelations/v1#ProvideService\n* http://purl.org/goodrelations/v1#Repair\n* http://purl.org/goodrelations/v1#Sell\n* http://purl.org/goodrelations/v1#Buy
"	Enumeration	Intangible	Thing	NA	NA
BusinessEvent	Event type: Business event.	Event	Thing	NA	NA	NA
BusinessEntityType	"A business entity type is a conceptual entity representing the legal form, the size, the main line of business, the position in the value chain, or any combination thereof, of an organization or business person.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#Business\n* http://purl.org/goodrelations/v1#Enduser\n* http://purl.org/goodrelations/v1#PublicInstitution\n* http://purl.org/goodrelations/v1#Reseller
	"	Enumeration	Intangible	Thing	NA	NA
BusinessAudience	A set of characteristics belonging to businesses, e.g. who compose an item's target audience.	Audience	Intangible	Thing	NA	NA
BusTrip	A trip on a commercial bus line.	Trip	Intangible	Thing	NA	NA
BusStop	A bus stop.	CivicStructure	Place	Thing	NA	NA
BusStation	A bus station.	CivicStructure	Place	Thing	NA	NA
BusReservation	A reservation for bus travel. \n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	Reservation	Intangible	Thing	NA	NA
BuddhistTemple	A Buddhist temple.	PlaceOfWorship	CivicStructure	Place	Thing	NA
BroadcastService	A delivery service through which content is provided via broadcast over the air or online.	Service	Intangible	Thing	NA	NA
BroadcastEvent	An over the air or online broadcast event.	PublicationEvent	Event	Thing	NA	NA
BroadcastChannel	A unique instance of a BroadcastService on a CableOrSatelliteService lineup.	Intangible	Thing	NA	NA	NA
Bridge	A bridge.	CivicStructure	Place	Thing	NA	NA
Brewery	Brewery.	FoodEstablishment	LocalBusiness	Place	Thing	NA
Brewery	Brewery.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
BreadcrumbList	"A BreadcrumbList is an ItemList consisting of a chain of linked Web pages, typically described using at least their URL and their name, and typically ending with the current page.\n\nThe [[position]] property is used to reconstruct the order of the items in a BreadcrumbList The convention is that a breadcrumb list has an [[itemListOrder]] of [[ItemListOrderAscending]] (lower values listed first), and that the first items in this list correspond to the ""top"" or beginning of the breadcrumb trail, e.g. with a site or section homepage. The specific values of 'position' are not assigned meaning for a BreadcrumbList, but they should be integers, e.g. beginning with '1' for the first item in the list.
"	ItemList	Intangible	Thing	NA	NA
Brand	A brand is a name used by an organization or business person for labeling a product, product group, or similar.	Intangible	Thing	NA	NA	NA
BowlingAlley	A bowling alley.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
BowlingAlley	A bowling alley.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
BorrowAction	The act of obtaining an object under an agreement to return it at a later date. Reciprocal of LendAction.\n\nRelated actions:\n\n* [[LendAction]]: Reciprocal of BorrowAction.	TransferAction	Action	Thing	NA	NA
Boolean	Boolean: True or False.	NA	NA	NA	NA	NA
BookmarkAction	An agent bookmarks/flags/labels/tags/marks an object.	OrganizeAction	Action	Thing	NA	NA
BookStore	A bookstore.	Store	LocalBusiness	Place	Thing	NA
BookStore	A bookstore.	Store	LocalBusiness	Organization	Thing	NA
BookSeries	A series of books. Included books can be indicated with the hasPart property.	CreativeWorkSeries	Series	Intangible	Thing	NA
BookSeries	A series of books. Included books can be indicated with the hasPart property.	CreativeWorkSeries	CreativeWork	Thing	NA	NA
BookFormatType	The publication format of the book.	Enumeration	Intangible	Thing	NA	NA
Book	A book.	CreativeWork	Thing	NA	NA	NA
BodyOfWater	A body of water, such as a sea, ocean, or lake.	Landform	Place	Thing	NA	NA
BoardingPolicyType	A type of boarding policy used by an airline.	Enumeration	Intangible	Thing	NA	NA
BlogPosting	A blog post.	SocialMediaPosting	Article	CreativeWork	Thing	NA
Blog	A blog.	CreativeWork	Thing	NA	NA	NA
BikeStore	A bike store.	Store	LocalBusiness	Place	Thing	NA
BikeStore	A bike store.	Store	LocalBusiness	Organization	Thing	NA
BefriendAction	The act of forming a personal connection with someone (object) mutually/bidirectionally/symmetrically.\n\nRelated actions:\n\n* [[FollowAction]]: Unlike FollowAction, BefriendAction implies that the connection is reciprocal.	InteractAction	Action	Thing	NA	NA
BedDetails	An entity holding detailed information about the available bed types, e.g. the quantity of twin beds for a hotel room. For the single case of just one bed of a certain type, you can use bed directly with a text. See also [[BedType]] (under development).	Intangible	Thing	NA	NA	NA
BedAndBreakfast	"Bed and breakfast.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
BedAndBreakfast	"Bed and breakfast.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
BeautySalon	Beauty salon.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
BeautySalon	Beauty salon.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
Beach	Beach.	CivicStructure	Place	Thing	NA	NA
Barcode	An image of a visual machine-readable code such as a barcode or QR code.	ImageObject	MediaObject	CreativeWork	Thing	NA
BarOrPub	A bar or pub.	FoodEstablishment	LocalBusiness	Place	Thing	NA
BarOrPub	A bar or pub.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
BankOrCreditUnion	Bank or credit union.	FinancialService	LocalBusiness	Place	Thing	NA
BankOrCreditUnion	Bank or credit union.	FinancialService	LocalBusiness	Organization	Thing	NA
BankAccount	A product or service offered by a bank whereby one may deposit, withdraw or transfer money and in some cases be paid interest.	FinancialProduct	Service	Intangible	Thing	NA
Bakery	A bakery.	FoodEstablishment	LocalBusiness	Place	Thing	NA
Bakery	A bakery.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
AutomotiveBusiness	Car repair, sales, or parts.	LocalBusiness	Place	Thing	NA	NA
AutomotiveBusiness	Car repair, sales, or parts.	LocalBusiness	Organization	Thing	NA	NA
AutomatedTeller	ATM/cash machine.	FinancialService	LocalBusiness	Place	Thing	NA
AutomatedTeller	ATM/cash machine.	FinancialService	LocalBusiness	Organization	Thing	NA
AutoWash	A car wash business.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoWash	A car wash business.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AutoRepair	Car repair business.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoRepair	Car repair business.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AutoRental	A car rental business.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoRental	A car rental business.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AutoPartsStore	An auto parts store.	Store	LocalBusiness	Place	Thing	NA
AutoPartsStore	An auto parts store.	Store	LocalBusiness	Organization	Thing	NA
AutoPartsStore	An auto parts store.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoPartsStore	An auto parts store.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AutoDealer	An car dealership.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoDealer	An car dealership.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AutoBodyShop	Auto body shop.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
AutoBodyShop	Auto body shop.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
AuthorizeAction	The act of granting permission to an object.	AllocateAction	OrganizeAction	Action	Thing	NA
AudioObject	An audio file.	MediaObject	CreativeWork	Thing	NA	NA
Audience	Intended audience for an item, i.e. the group for whom the item was created.	Intangible	Thing	NA	NA	NA
Attorney	Professional service: Attorney. \n\nThis type is deprecated - [[LegalService]] is more inclusive and less ambiguous.	LegalService	LocalBusiness	Place	Thing	NA
Attorney	Professional service: Attorney. \n\nThis type is deprecated - [[LegalService]] is more inclusive and less ambiguous.	LegalService	LocalBusiness	Organization	Thing	NA
AssignAction	The act of allocating an action/event/task to some destination (someone or something).	AllocateAction	OrganizeAction	Action	Thing	NA
AssessAction	The act of forming one's opinion, reaction or sentiment.	Action	Thing	NA	NA	NA
AskAction	The act of posing a question / favor to someone.\n\nRelated actions:\n\n* [[ReplyAction]]: Appears generally as a response to AskAction.	CommunicateAction	InteractAction	Action	Thing	NA
Article	An article, such as a news article or piece of investigative report. Newspapers and magazines have articles of many different types and this is intended to cover them all.\n\nSee also [blog post](http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html).	CreativeWork	Thing	NA	NA	NA
ArtGallery	An art gallery.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
ArtGallery	An art gallery.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
ArriveAction	The act of arriving at a place. An agent arrives at a destination from a fromLocation, optionally with participants.	MoveAction	Action	Thing	NA	NA
Aquarium	Aquarium.	CivicStructure	Place	Thing	NA	NA
ApplyAction	The act of registering to an organization/service without the guarantee to receive it.\n\nRelated actions:\n\n* [[RegisterAction]]: Unlike RegisterAction, ApplyAction has no guarantees that the application will be accepted.	OrganizeAction	Action	Thing	NA	NA
AppendAction	The act of inserting at the end if an ordered collection.	InsertAction	AddAction	UpdateAction	Action	Thing
ApartmentComplex	Residence type: Apartment complex.	Residence	Place	Thing	NA	NA
Apartment	"An apartment (in American English) or flat (in British English) is a self-contained housing unit (a type of residential real estate) that occupies only part of a building (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Apartment"">http://en.wikipedia.org/wiki/Apartment</a>)."	Accommodation	Place	Thing	NA	NA
Answer	An answer offered to a question; perhaps correct, perhaps opinionated or wrong.	Comment	CreativeWork	Thing	NA	NA
AnimalShelter	Animal shelter.	LocalBusiness	Place	Thing	NA	NA
AnimalShelter	Animal shelter.	LocalBusiness	Organization	Thing	NA	NA
AmusementPark	An amusement park.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
AmusementPark	An amusement park.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
AllocateAction	The act of organizing tasks/objects/events by associating resources to it.	OrganizeAction	Action	Thing	NA	NA
AlignmentObject	An intangible item that describes an alignment between a learning resource and a node in an educational framework.	Intangible	Thing	NA	NA	NA
Airport	An airport.	CivicStructure	Place	Thing	NA	NA
Airline	An organization that provides flights for passengers.	Organization	Thing	NA	NA	NA
AgreeAction	The act of expressing a consistency of opinion with the object. An agent agrees to/about an object (a proposition, topic or theme) with participants.	ReactAction	AssessAction	Action	Thing	NA
AggregateRating	The average rating based on multiple ratings or reviews.	Rating	Intangible	Thing	NA	NA
AggregateOffer	When a single product is associated with multiple offers (for example, the same pair of shoes is offered by different merchants), then AggregateOffer can be used.	Offer	Intangible	Thing	NA	NA
AdultEntertainment	An adult entertainment establishment.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
AdultEntertainment	An adult entertainment establishment.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
AdministrativeArea	A geographical region, typically under the jurisdiction of a particular government.	Place	Thing	NA	NA	NA
AddAction	The act of editing by adding an object to a collection.	UpdateAction	Action	Thing	NA	NA
ActivateAction	The act of starting or activating a device or application (e.g. starting a timer or turning on a flashlight).	ControlAction	Action	Thing	NA	NA
ActionStatusType	The status of an Action.	Enumeration	Intangible	Thing	NA	NA
Action	An action performed by a direct agent and indirect participants upon a direct object. Optionally happens at a location with the help of an inanimate instrument. The execution of the action may produce a result. Specific action sub-type documentation specifies the exact expectation of each argument/role.\n\nSee also [blog post](http://blog.schema.org/2014/04/announcing-schemaorg-actions.html) and [Actions overview document](http://schema.org/docs/actions.html).	Thing	NA	NA	NA	NA
AchieveAction	The act of accomplishing something via previous efforts. It is an instantaneous action rather than an ongoing process.	Action	Thing	NA	NA	NA
AccountingService	"Accountancy business.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).
"	FinancialService	LocalBusiness	Place	Thing	NA
AccountingService	"Accountancy business.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).
"	FinancialService	LocalBusiness	Organization	Thing	NA
Accommodation	"An accommodation is a place that can accommodate human beings, e.g. a hotel room, a camping pitch, or a meeting room. Many accommodations are for overnight stays, but this is not a mandatory requirement.
For more specific types of accommodations not defined in schema.org, one can use additionalType with external vocabularies.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Place	Thing	NA	NA	NA
AcceptAction	The act of committing to/adopting an object.\n\nRelated actions:\n\n* [[RejectAction]]: The antonym of AcceptAction.	AllocateAction	OrganizeAction	Action	Thing	NA
AboutPage	Web page type: About page.	WebPage	CreativeWork	Thing	NA	NA
APIReference	Reference documentation for application programming interfaces (APIs).	TechArticle	Article	CreativeWork	Thing	NA
