class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
Role	Represents additional information about a relationship or property. For example a Role can be used to say that a 'member' role linking some SportsTeam to a player occurred during a particular time period. Or that a Person's 'actor' role in a Movie was for some particular characterName. Such properties can be attached to a Role entity, which is then associated with the main entities using ordinary properties like 'member' or 'actor'.\n\nSee also [blog post](http://blog.schema.org/2014/06/introducing-role.html).	Intangible	Thing	NA	NA	NA
RiverBodyOfWater	A river (for example, the broad majestic Shannon).	BodyOfWater	Landform	Place	Thing	NA
ReviewAction	The act of producing a balanced opinion about the object for an audience. An agent reviews an object with participants resulting in a review.	AssessAction	Action	Thing	NA	NA
Review	A review of an item - for example, of a restaurant, movie, or store.	CreativeWork	Thing	NA	NA	NA
ReturnAction	The act of returning to the origin that which was previously received (concrete objects) or taken (ownership).	TransferAction	Action	Thing	NA	NA
ResumeAction	The act of resuming a device or application which was formerly paused (e.g. resume music playback or resume a timer).	ControlAction	Action	Thing	NA	NA
RestrictedDiet	A diet restricted to certain foods or preparations for cultural, religious, health or lifestyle reasons.	Enumeration	Intangible	Thing	NA	NA
Restaurant	A restaurant.	FoodEstablishment	LocalBusiness	Place	Thing	NA
Restaurant	A restaurant.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
Resort	"A resort is a place used for relaxation or recreation, attracting visitors for holidays or vacations. Resorts are places, towns or sometimes commercial establishment operated by a single company (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Resort"">http://en.wikipedia.org/wiki/Resort</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
Resort	"A resort is a place used for relaxation or recreation, attracting visitors for holidays or vacations. Resorts are places, towns or sometimes commercial establishment operated by a single company (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Resort"">http://en.wikipedia.org/wiki/Resort</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
Residence	The place where a person lives.	Place	Thing	NA	NA	NA
Reservoir	A reservoir of water, typically an artificially created lake, like the Lake Kariba reservoir.	BodyOfWater	Landform	Place	Thing	NA
ReserveAction	Reserving a concrete object.\n\nRelated actions:\n\n* [[ScheduleAction]]</a>: Unlike ScheduleAction, ReserveAction reserves concrete objects (e.g. a table, a hotel) towards a time slot / spatial allocation.	PlanAction	OrganizeAction	Action	Thing	NA
ReservationStatusType	Enumerated status values for Reservation.	Enumeration	Intangible	Thing	NA	NA
ReservationPackage	A group of multiple reservations with common values for all sub-reservations.	Reservation	Intangible	Thing	NA	NA
Reservation	Describes a reservation for travel, dining or an event. Some reservations require tickets. \n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, restaurant reservations, flights, or rental cars, use [[Offer]].	Intangible	Thing	NA	NA	NA
Report	A Report generated by governmental or non-governmental organization.	Article	CreativeWork	Thing	NA	NA
ReplyAction	The act of responding to a question/message asked/sent by the object. Related to [[AskAction]]\n\nRelated actions:\n\n* [[AskAction]]: Appears generally as an origin of a ReplyAction.	CommunicateAction	InteractAction	Action	Thing	NA
ReplaceAction	The act of editing a recipient by replacing an old object with a new object.	UpdateAction	Action	Thing	NA	NA
RentalCarReservation	A reservation for a rental car.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations.	Reservation	Intangible	Thing	NA	NA
RentAction	The act of giving money in return for temporary use, but not ownership, of an object such as a vehicle or property. For example, an agent rents a property from a landlord in exchange for a periodic payment.	TradeAction	Action	Thing	NA	NA
RejectAction	The act of rejecting to/adopting an object.\n\nRelated actions:\n\n* [[AcceptAction]]: The antonym of RejectAction.	AllocateAction	OrganizeAction	Action	Thing	NA
RegisterAction	The act of registering to be a user of a service, product or web page.\n\nRelated actions:\n\n* [[JoinAction]]: Unlike JoinAction, RegisterAction implies you are registering to be a user of a service, *not* a group/team of people.\n* [FollowAction]]: Unlike FollowAction, RegisterAction doesn't imply that the agent is expecting to poll for updates from the object.\n* [[SubscribeAction]]: Unlike SubscribeAction, RegisterAction doesn't imply that the agent is expecting updates from the object.	InteractAction	Action	Thing	NA	NA
RecyclingCenter	A recycling center.	LocalBusiness	Place	Thing	NA	NA
RecyclingCenter	A recycling center.	LocalBusiness	Organization	Thing	NA	NA
Recipe	A recipe. For dietary restrictions covered by the recipe, a few common restrictions are enumerated via [[suitableForDiet]]. The [[keywords]] property can also be used to add more detail.	HowTo	CreativeWork	Thing	NA	NA
ReceiveAction	The act of physically/electronically taking delivery of an object thathas been transferred from an origin to a destination. Reciprocal of SendAction.\n\nRelated actions:\n\n* [[SendAction]]: The reciprocal of ReceiveAction.\n* [[TakeAction]]: Unlike TakeAction, ReceiveAction does not imply that the ownership has been transfered (e.g. I can receive a package, but it does not mean the package is now mine).	TransferAction	Action	Thing	NA	NA
RealEstateAgent	A real-estate agent.	LocalBusiness	Place	Thing	NA	NA
RealEstateAgent	A real-estate agent.	LocalBusiness	Organization	Thing	NA	NA
ReadAction	The act of consuming written content.	ConsumeAction	Action	Thing	NA	NA
ReactAction	The act of responding instinctively and emotionally to an object, expressing a sentiment.	AssessAction	Action	Thing	NA	NA
Rating	A rating is an evaluation on a numeric scale, such as 1 to 5 stars.	Intangible	Thing	NA	NA	NA
RadioStation	A radio station.	LocalBusiness	Place	Thing	NA	NA
RadioStation	A radio station.	LocalBusiness	Organization	Thing	NA	NA
RadioSeries	CreativeWorkSeries dedicated to radio broadcast and associated online delivery.	CreativeWorkSeries	Series	Intangible	Thing	NA
RadioSeries	CreativeWorkSeries dedicated to radio broadcast and associated online delivery.	CreativeWorkSeries	CreativeWork	Thing	NA	NA
RadioSeason	Season dedicated to radio broadcast and associated online delivery.	CreativeWorkSeason	CreativeWork	Thing	NA	NA
RadioEpisode	A radio episode which can be part of a series or season.	Episode	CreativeWork	Thing	NA	NA
RadioClip	A short radio program or a segment/part of a radio program.	Clip	CreativeWork	Thing	NA	NA
RadioChannel	A unique instance of a radio BroadcastService on a CableOrSatelliteService lineup.	BroadcastChannel	Intangible	Thing	NA	NA
RVPark	"A place offering space for ""Recreational Vehicles"", Caravans, mobile homes and the like."	CivicStructure	Place	Thing	NA	NA
QuoteAction	An agent quotes/estimates/appraises an object/product/service with a price at a location/store.	TradeAction	Action	Thing	NA	NA
Question	A specific question - e.g. from a user seeking answers online, or collected in a Frequently Asked Questions (FAQ) document.	CreativeWork	Thing	NA	NA	NA
Quantity	Quantities such as distance, time, mass, weight, etc. Particular instances of say Mass are entities like '3 Kg' or '4 milligrams'.	Intangible	Thing	NA	NA	NA
QuantitativeValue	A point value or interval for product characteristics and other purposes.	StructuredValue	Intangible	Thing	NA	NA
QualitativeValue	A predefined value for a product characteristic, e.g. the power cord plug type 'US' or the garment sizes 'S', 'M', 'L', and 'XL'.	Enumeration	Intangible	Thing	NA	NA
QAPage	A QAPage is a WebPage focussed on a specific Question and its Answer(s), e.g. in a question answering site or documenting Frequently Asked Questions (FAQs).	WebPage	CreativeWork	Thing	NA	NA
PublicationVolume	"A part of a successively published publication such as a periodical or multi-volume work, often numbered. It may represent a time span, such as a year.

      <br/><br/>See also <a href=""http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html"">blog post</a>."	CreativeWork	Thing	NA	NA	NA
PublicationIssue	A part of a successively published publication such as a periodical or publication volume, often numbered, usually containing a grouping of works such as articles.\n\n[blog post](http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html).	CreativeWork	Thing	NA	NA	NA
PublicationEvent	A PublicationEvent corresponds indifferently to the event of publication for a CreativeWork of any type e.g. a broadcast event, an on-demand event, a book/journal publication via a variety of delivery media.	Event	Thing	NA	NA	NA
PublicSwimmingPool	A public swimming pool.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
PublicSwimmingPool	A public swimming pool.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
PropertyValueSpecification	A Property value specification.	Intangible	Thing	NA	NA	NA
PropertyValue	"A property-value pair, e.g. representing a feature of a product or place. Use the 'name' property for the name of the property. If there is an additional human-readable version of the value, put that into the 'description' property.\n\n Always use specific schema.org properties when a) they exist and b) you can populate them. Using PropertyValue as a substitute will typically not trigger the same effect as using the original, specific property.
"	StructuredValue	Intangible	Thing	NA	NA
ProgramMembership	"Used to describe membership in a loyalty programs (e.g. ""StarAliance""), traveler clubs (e.g. ""AAA""), purchase clubs (""Safeway Club""), etc."	Intangible	Thing	NA	NA	NA
ProfilePage	Web page type: Profile page.	WebPage	CreativeWork	Thing	NA	NA
ProfessionalService	"Original definition: ""provider of professional services.""\n\nThe general [[ProfessionalService]] type for local businesses was deprecated due to confusion with [[Service]]. For reference, the types that it included were: [[Dentist]],
        [[AccountingService]], [[Attorney]], [[Notary]], as well as types for several kinds of [[HomeAndConstructionBusiness]]: [[Electrician]], [[GeneralContractor]],
        [[HousePainter]], [[Locksmith]], [[Plumber]], [[RoofingContractor]]. [[LegalService]] was introduced as a more inclusive supertype of [[Attorney]]."	LocalBusiness	Place	Thing	NA	NA
